,ID,X,Y,K,K_err,J,J_err,H,H_err,chi,sharp,ra,dec,rgc
8,7,3710.954,2730.098,21.224,0.2355,21.714,0.0595,21.1605,0.1219,1.6927,-0.2553,16.145806533278595,1.846488196323419,3.5246840895015414
22,5000002,3902.249,2733.903,22.393,1.1390,23.894999999999996,0.2687,22.8535,0.6387,1.9167,-5.5427,16.137300141270508,1.8466569891376265,3.545384914740476
142,201462,1866.870,2846.948,20.257,0.1170,21.074999999999996,0.0362,20.397499999999997,0.0788,1.7360,0.3040,16.22780823904196,1.8516824784131092,3.4087352869500847
160,201692,803.146,2854.910,21.019000000000002,0.2048,21.335,0.0427,20.8905,0.1103,1.7547,0.3547,16.27510943929123,1.8520351825723897,3.518284112186931
206,202388,3905.798,2879.795,20.519000000000002,0.1625,21.178999999999995,0.0401,20.4515,0.0763,1.7947,0.3500,16.137142050666345,1.8531410368590502,3.465408111689554
211,202457,3346.990,2882.552,20.14,0.1036,20.72,0.0296,20.1775,0.0706,1.7113,0.1560,16.16199087389987,1.8532643876565815,3.4047139282430487
238,5000022,2661.431,2900.285,21.422,0.5359,22.991,0.1352,22.5845,0.5143,1.9517,-0.7767,16.19247602540371,1.8540530453817734,3.361456912446161
253,3033,3519.644,2912.696,21.101,0.2250,23.29,0.1926,22.232499999999998,0.2796,1.7840,-1.4123,16.154313326277624,1.8546038990371978,3.4031631094431027
303,203890,2604.176,2934.397,20.143,0.1089,21.120999999999995,0.0412,20.5155,0.0740,1.6460,-0.0293,16.195022007539922,1.855569148149411,3.3413761274635894
324,204288,394.370,2949.201,17.417,0.0193,18.286,0.0146,17.6535,0.0205,1.9153,0.1653,16.29328689914914,1.856225089362732,3.5377930290914
327,3930,397.014,2950.775,21.080000000000002,0.4047,,,20.0845,0.1468,2.0885,5.0010,16.29316933043224,1.8562950502173143,3.536450935895654
347,204670,3525.524,2964.302,18.998,0.0538,19.772,0.0182,19.197499999999998,0.0336,1.6527,0.2297,16.15405178247869,1.8568974804820235,3.3749502870558845
353,204757,872.093,2967.248,20.034,0.1032,20.903999999999996,0.0354,20.1785,0.0659,1.7407,-0.0763,16.27204372993637,1.85702807156642,3.4465134843315797
366,205024,910.445,2976.997,18.562,0.0354,19.589999999999996,0.0170,18.729499999999998,0.0275,1.5820,0.2847,16.270338322745193,1.8574614194205965,3.435466595166644
370,4584,3850.364,2979.739,20.892,0.2045,22.708999999999996,0.1201,21.5535,0.1644,1.7980,-0.5177,16.13960688173906,1.857583067236379,3.4031385527545472
